Expression	Value	Location	Type	
Highs	Error (col 1): Unknown or ambiguous symbol. Highs			
Lows	Error (col 1): Unknown or ambiguous symbol. Lows			
Highs_A1	Error (col 1): Unknown or ambiguous symbol. Highs_A1			
[253]	I2C_LOG_TXE	0x2000018F	HAL::I2CIntr::I2CLogs_t	
[254]	I2C_LOG_TXE_DONE	0x20000190	HAL::I2CIntr::I2CLogs_t	
[255]	I2C_LOG_TXN_DONE	0x20000191	HAL::I2CIntr::I2CLogs_t	
[256]	I2C_LOG_TXN_DEQUEUED	0x20000192	HAL::I2CIntr::I2CLogs_t	
[257]	I2C_LOG_TXE	0x20000193	HAL::I2CIntr::I2CLogs_t	
[258]	I2C_LOG_TXE_MASTER_TX_REPEATED_START	0x20000194	HAL::I2CIntr::I2CLogs_t	
[259]	I2C_LOG_SB_MASTER_RX_REPEATED_START	0x20000195	HAL::I2CIntr::I2CLogs_t	
[260]	I2C_LOG_ADDR_INTR_MASTER_RX_SIZE_2	0x20000196	HAL::I2CIntr::I2CLogs_t	
[261]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000197	HAL::I2CIntr::I2CLogs_t	
[262]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000198	HAL::I2CIntr::I2CLogs_t	
[263]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x20000199	HAL::I2CIntr::I2CLogs_t	
[264]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000019A	HAL::I2CIntr::I2CLogs_t	
[265]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000019B	HAL::I2CIntr::I2CLogs_t	
[266]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000019C	HAL::I2CIntr::I2CLogs_t	
[267]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000019D	HAL::I2CIntr::I2CLogs_t	
[268]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000019E	HAL::I2CIntr::I2CLogs_t	
[269]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x2000019F	HAL::I2CIntr::I2CLogs_t	
[270]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A0	HAL::I2CIntr::I2CLogs_t	
[271]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A1	HAL::I2CIntr::I2CLogs_t	
[272]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A2	HAL::I2CIntr::I2CLogs_t	
[273]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A3	HAL::I2CIntr::I2CLogs_t	
[274]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A4	HAL::I2CIntr::I2CLogs_t	
[275]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A5	HAL::I2CIntr::I2CLogs_t	
[276]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A6	HAL::I2CIntr::I2CLogs_t	
[277]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A7	HAL::I2CIntr::I2CLogs_t	
[278]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A8	HAL::I2CIntr::I2CLogs_t	
[279]	I2C_LOG_RXNE_MASTER_SIZE_2_OR_3	0x200001A9	HAL::I2CIntr::I2CLogs_t	
